kode banjir,alamat lengkap,latitude,longitude,total korban (jiwa),radius bahaya
JPB359,"RT 08, 10/RW 9, Karet Tengsin, Tanah Abang",-6.20263984,106.8179271,334,278.5
JPB359,"RT 11, 14/RW 9, Karet Tengsin, Tanah Abang",-6.205778595,106.8193768,333,278.5
JPB3511,"RT 14, 15, 18/RW 11, Karet Tengsin, Tanah Abang",-6.207720456,106.8195602,74,62.2
JPB362,"RT 8,009/RW 2, Petamburan, Tanah Abang",-6.192043928,106.8076283,204,170.7
JPB363,"RT 05, 06/RW 3, Petamburan, Tanah Abang",-6.193667755,106.8075763,438,157.0
JPB363,"RT 7/RW 3, Petamburan, Tanah Abang",-6.193974474,106.808319,436,157.0
JPB363,"RT 8/RW 3, Petamburan, Tanah Abang",-6.193514396,106.8083247,436,157.0
JPB363,"RT 9/RW 3, Petamburan, Tanah Abang",-6.193190637,106.8087932,436,157.0
JPB363,"RT 10, 11/RW 3, Petamburan, Tanah Abang",-6.193133906,106.807198,398,157.0
JPB363,"RT 15/RW 3, Petamburan, Tanah Abang",-6.193477103,106.8074106,396,157.0
JPB363,"RT 16/RW 3, Petamburan, Tanah Abang",-6.192308644,106.8082547,396,157.0
JPB364,"RT 007, 10, 11/RW 4, Petamburan, Tanah Abang",-6.1948458,106.8079851,287,240.2
JPB365,"RT 18/RW 5, Petamburan, Tanah Abang",-6.196849082,106.8088428,287,240.2
JPB368,"RT 1/RW 8, Petamburan, Tanah Abang",-6.198235975,106.8070967,365,303.8
JPB368,"RT 2/RW 8, Petamburan, Tanah Abang",-6.197777332,106.8065817,363,303.8
JPB368,"RT 3/RW 8, Petamburan, Tanah Abang",-6.197851995,106.8060077,363,303.8
JPB369,"RT 9/RW 9, Petamburan, Tanah Abang",-6.199418603,106.8085766,200,167.1
JPB471,"RT 1, 03, 04, 05, 07, 08, 09, 11/RW 1, Johar Baru, Johar Baru",-6.184464035,106.852374,156,130.2
JPB472,"RT 1, 02, 03, 04, 06/RW 2, Johar Baru, Johar Baru",-6.181472433,106.8533414,48,39.8
JPB473,"RT 1, 02, 03/RW 3, Johar Baru, Johar Baru",-6.182234844,106.8575771,0,0.0
JPB474,"RT 1, 02, 03, 06, 09, 13/RW 4, Johar Baru, Johar Baru",-6.184367022,106.8581262,0,0.0
JPB475,"RT 03, 07/RW 5, Johar Baru, Johar Baru",-6.183356341,106.8609177,0,0.0
JPB476,"RT 1, 02, 03, 04, 05, 06, 10, 11, 12, 13, 14 /RW 6, Johar Baru, Johar Baru",-6.186540029,106.8561822,35,28.9
JPB477,"RT 1, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17/RW 7, Johar Baru, Johar Baru",-6.189824945,106.8554278,78,65.1
JPB478,"RT 1, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12/RW 8, Johar Baru, Johar Baru",-6.186763925,106.8535653,132,110.7
JPB4711,"RT 09, 11, 12, 13, 08, 10/RW 11, Johar Baru, Johar Baru",-6.185823945,106.8586537,0,0.0
