kode pengungsian,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM31,"Thamrin Residences, Lt.P3, RT.3, RT.3/RW.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1967674,106.8166378,1300
JPM32,"Jl. Kebon Kacang III No. 49 RT 008 RW 05 Kebon Kacang Tanah Abang Jakarta Pusat DKI Jakarta, RT.3/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1890827,106.8177151,500
JPM33,"JL. Pintu Air 5, Rt. 03 Rw. 02, Sawah Besar, RT.2/RW.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",-6.1633539,106.8295231,2700
JPM34,"Jl. Kepu Dalam IV No.181, RT.14/RW.3, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1659821,106.8444958,1500
JPM35,"Jl. Kb. Kacang XI No.1, RT.15/RW.1, Dukuh Atas, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1879249,106.8221355,1500
JPM36,"Jl. Kebun Kacang 14 No.14-16, RT.3/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1914004,106.8193913,1400
JPM37,"Jl. Kebon Kacang 41 No.14 15, RT.15/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1925029,106.8184899,800
JPM38,"Jl. Kb. Kacang 1 No.85 05, RT.1/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1880507,106.8194189,700
JPM39,"thamrin city mall, Jl. Kebon Kacang Raya No.RT.7, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1949278,106.8168859,2000
JPM40,"Jl. Ps. Baru No.89-129 1, RT.1/RW.3, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1619198,106.8328919,2300
JPM41,"RRHJ+FXG, Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710",-6.1712976,106.8324544,500
